ID	BEST_STATISTICS	BEST_SPLIT	P-VALUE	FDR	DIRECTION	HAZARD_RATIO	MORTALITY_RATIO_1YR	MORTALITY_RATIO_2YR	MORTALITY_RATIO_5YR
KRT7-214	36.125553	367	0.000000e+00	0.000000e+00	low expression survived longer	1.683607e-01	1.774505e+00	1.517783e+00	1.108124e+00
SHC1-202	37.918750	361	0.000000e+00	0.000000e+00	low expression survived longer	1.869622e-01	1.897204e+00	1.332304e+00	1.133489e+00
ZFC3H1-201	37.048708	367	0.000000e+00	0.000000e+00	low expression survived longer	1.873740e-01	2.224242e+00	1.222363e+00	1.108124e+00
NUP50-201	35.315070	354	0.000000e+00	0.000000e+00	low expression survived longer	2.292300e-01	1.693456e+00	1.251143e+00	1.101568e+00
ITGB1-201	35.317513	366	0.000000e+00	0.000000e+00	low expression survived longer	2.204272e-01	1.742857e+00	1.200562e+00	1.067758e+00
MYO1E-201	33.474440	345	0.000000e+00	0.000000e+00	low expression survived longer	2.652607e-01	1.479671e+00	1.204991e+00	1.093481e+00
GJB3-202	40.037942	358	0.000000e+00	0.000000e+00	low expression survived longer	2.016272e-01	2.009563e+00	1.267669e+00	1.097401e+00
FAM83A-205	32.817310	366	1.000000e-06	5.350769e-03	low expression survived longer	2.207491e-01	2.069199e+00	1.306521e+00	1.088360e+00
HMMR-202	32.732627	334	1.000000e-06	5.350769e-03	low expression survived longer	2.998292e-01	1.817687e+00	1.187988e+00	1.058508e+00
SPECC1-215	32.905736	367	1.000000e-06	5.350769e-03	low expression survived longer	2.080591e-01	1.774505e+00	1.330246e+00	1.108124e+00
BUB3-201	32.731969	362	1.000000e-06	5.350769e-03	low expression survived longer	2.370186e-01	1.529577e+00	1.087326e+00	1.112839e+00
PDCD5-204	32.769682	345	1.000000e-06	5.350769e-03	low expression survived longer	2.731549e-01	1.246305e+00	1.039093e+00	1.144411e+00
S100A16-205	32.592576	322	1.000000e-06	5.350769e-03	low expression survived longer	3.073381e-01	1.797448e+00	1.285144e+00	1.058801e+00
CNIH1-202	31.817122	253	3.000000e-06	1.490571e-02	low expression survived longer	3.776799e-01	1.353263e+00	1.094594e+00	1.099317e+00
EIF3D-201	31.555992	333	5.000000e-06	2.318667e-02	low expression survived longer	2.874640e-01	1.627566e+00	1.361472e+00	1.090282e+00
