ID	BEST_STATISTICS	BEST_SPLIT	P-VALUE	FDR	DIRECTION	HAZARD_RATIO	MORTALITY_RATIO_1YR	MORTALITY_RATIO_2YR	MORTALITY_RATIO_5YR
ENST00000638501	36.125553	367	0.000000e+00	0.000000e+00	low expression survived longer	1.683607e-01	1.774505e+00	1.517783e+00	1.108124e+00
ENST00000368445	37.918750	361	0.000000e+00	0.000000e+00	low expression survived longer	1.869622e-01	1.897204e+00	1.332304e+00	1.133489e+00
ENST00000378743	37.048708	367	0.000000e+00	0.000000e+00	low expression survived longer	1.873740e-01	2.224242e+00	1.222363e+00	1.108124e+00
ENST00000347635	35.315070	354	0.000000e+00	0.000000e+00	low expression survived longer	2.292300e-01	1.693456e+00	1.251143e+00	1.101568e+00
ENST00000302278	35.317513	366	0.000000e+00	0.000000e+00	low expression survived longer	2.204272e-01	1.742857e+00	1.200562e+00	1.067758e+00
ENST00000288235	33.474440	345	0.000000e+00	0.000000e+00	low expression survived longer	2.652607e-01	1.479671e+00	1.204991e+00	1.093481e+00
ENST00000373366	40.037942	358	0.000000e+00	0.000000e+00	low expression survived longer	2.016272e-01	2.009563e+00	1.267669e+00	1.097401e+00
ENST00000522648	32.817310	366	1.000000e-06	5.796667e-03	low expression survived longer	2.207491e-01	2.069199e+00	1.306521e+00	1.088360e+00
ENST00000358715	32.732627	334	1.000000e-06	5.796667e-03	low expression survived longer	2.998292e-01	1.817687e+00	1.187988e+00	1.058508e+00
ENST00000581399	32.905736	367	1.000000e-06	5.796667e-03	low expression survived longer	2.080591e-01	1.774505e+00	1.330246e+00	1.108124e+00
ENST00000368858	32.731969	362	1.000000e-06	5.796667e-03	low expression survived longer	2.370186e-01	1.529577e+00	1.087326e+00	1.112839e+00
ENST00000586035	32.769682	345	1.000000e-06	5.796667e-03	low expression survived longer	2.731549e-01	1.246305e+00	1.039093e+00	1.144411e+00
ENST00000474991	32.592576	322	2.000000e-06	1.070154e-02	low expression survived longer	3.073381e-01	1.797448e+00	1.285144e+00	1.058801e+00
ENST00000395573	31.817122	253	5.000000e-06	2.484286e-02	low expression survived longer	3.776799e-01	1.353263e+00	1.094594e+00	1.099317e+00
ENST00000216190	31.555992	333	6.000000e-06	2.782400e-02	low expression survived longer	2.874640e-01	1.627566e+00	1.361472e+00	1.090282e+00
ENST00000315571	31.506708	277	7.000000e-06	2.845636e-02	low expression survived longer	3.643669e-01	1.374690e+00	1.247111e+00	1.096286e+00
ENST00000276699	31.237350	366	7.000000e-06	2.845636e-02	low expression survived longer	2.320745e-01	1.957219e+00	1.235516e+00	1.088360e+00
ENST00000270570	31.018172	73	8.000000e-06	2.845636e-02	high expression survived longer	4.091173e+00	5.761374e-01	7.564345e-01	8.964259e-01
ENST00000520582	30.676216	84	8.000000e-06	2.845636e-02	high expression survived longer	3.440637e+00	5.517241e-01	8.979310e-01	9.172414e-01
ENST00000366672	30.489373	359	9.000000e-06	2.845636e-02	low expression survived longer	2.487846e-01	1.735697e+00	1.288624e+00	1.077234e+00
ENST00000306730	30.400817	310	9.000000e-06	2.845636e-02	low expression survived longer	3.438996e-01	1.291320e+00	1.028493e+00	1.072860e+00
ENST00000545215	30.487412	319	9.000000e-06	2.845636e-02	low expression survived longer	3.221412e-01	1.733426e+00	1.264292e+00	1.090476e+00
ENST00000373970	29.637569	367	1.200000e-05	3.229571e-02	low expression survived longer	2.441945e-01	1.669989e+00	1.293910e+00	1.066302e+00
ENST00000325301	29.821788	364	1.200000e-05	3.229571e-02	low expression survived longer	2.288951e-01	1.213333e+00	1.295975e+00	1.151899e+00
ENST00000337843	29.610270	309	1.200000e-05	3.229571e-02	low expression survived longer	3.444418e-01	1.614983e+00	1.216598e+00	1.073987e+00
ENST00000350028	29.287522	315	1.300000e-05	3.229571e-02	low expression survived longer	3.327996e-01	1.118343e+00	1.254181e+00	1.122623e+00
ENST00000518448	29.212364	365	1.300000e-05	3.229571e-02	low expression survived longer	2.476743e-01	2.032747e+00	1.248445e+00	1.089552e+00
ENST00000368178	29.201936	74	1.300000e-05	3.229571e-02	high expression survived longer	3.397620e+00	7.441341e-01	9.277641e-01	9.605652e-01
ENST00000530448	29.020840	361	1.400000e-05	3.358069e-02	low expression survived longer	2.543966e-01	1.694836e+00	1.298172e+00	1.074643e+00
ENST00000267205	28.762680	365	1.700000e-05	3.682588e-02	low expression survived longer	2.517591e-01	2.262916e+00	1.213750e+00	1.069187e+00
ENST00000453838	28.485586	350	1.700000e-05	3.682588e-02	low expression survived longer	2.689544e-01	1.772983e+00	1.327913e+00	1.123235e+00
