MAP2K4	FLNB
MYPN	MTA2
ACVR1	ARV1
GATA2	IMPDH1
RPA2	RPA1
ARF1	PRNP
ARF3	COX10
XRN1	PKP1
APP	PTCD2
APLP1	ZNF24
CITED2	EP300
EP300	TP53
APOB	MTTP
ARRB2	AHCYL1
CSF1R	CTDSP2
PRRC2A	GORASP2
PRRC2A	GORASP2
PRRC2A	GORASP2
PRRC2A	GORASP2
PRRC2A	GORASP2
PRRC2A	GORASP2
PRRC2A	GORASP2
LSM1	MED1
SLC4A1	KAT2B
BCL3	NCOA1
ADRB1	GPRASP2
BRCA1	BRIP1
ARVCF	CDH15
PCBD1	FXR2
PSEN2	NPLOC4
CAPN3	YARS2
ITPR1	ERLIN2
MAGI1	NAV1
MAGI1	NAV1
RB1	PCGF3
TSG101	UHRF1BP1
ORC1	CDC6
ORC4	LACC1
MCM5	MCM7
CDC7	MCM2
ORC2	CDC6
DBF4	MCM10
AKAP8	TUBB4B
MCM2	CDC45
RPA1	SPTA1
RPA3	ATRIP
ORC5	ORC2
MCM3	MCM7
YWHAZ	CEP131
DOCK8	CPNE7
TRIP10	UPF2
CDKN3	SEC63
RBBP8	NBN
HAND2	HOXD13
CLTC	SLC35B2
IGFBP3	IGF2
TXN	TYMS
ATF2	C18orf25
CCND3	CDK1
RALBP1	ALB
PPIB	UCHL3
CSRP1	TALDO1
CSK	PAG1
DCN	KLHL17
SIM2	ARIH1
SIM1	IDH2
NPAS4	ARNT2
HBEGF	BCL6
PCNA	UBC
TOPBP1	BRCA1
FLNA	ARFGEF2
LSM3	MED1
LSM4	ZMAT2
LSM5	DDX23
CREBBP	CTNNB1
NUMA1	KPNB1
EXOSC4	RSRC1
PLCG1	PTPN6
KTN1	AC092338.1
KDR	TP53
PPARGC1B	PPARG
SMARCA4	SPTA1
DDX54	SSB
ESR1	TAB2
FGFR1	UBC
AC011462.1	C4orf48
SUMO1	ATXN3
MPP6	LRP1
GABRG2	CPT1A
SFN	YWHAQ
TGFB1I1	SMAD3
NR3C1	SEC63
GCK	GCKR
HSPA5	VIM
SLC2A2	APOB
SLC2A4	DNAJC12
GRIK2	GRIK5
GRIK1	GRIK1
CCNT1	TP73
RGS19	GNAI3
HSF2	GM2A
LIMK1	SH3PXD2B
FGF7	FGFR2
C1QBP	UQCRC2
EIF3E	PRRC2B
HNRNPA1	MRPS35
HNRNPM	U2AF2
UBAP2L	PRMT1
IMMT	VDAC2
IFT88	ICK
HTT	RHEB
HAP1	ATG12
HYPK	HSPA1A
MEF2D	SKP2
TCF3	PSMD4
IGF1R	STYX
YWHAE	CEP170
YWHAE	CEP170
SOCS1	IRS2
PTK2	ITGB1
MAPK8	BCL2L1
INSR	STYX
IL1A	IL1R2
JAK2	STAT3
BYSL	RPS3
KRT18	HAUS1
LMNA	SPTA1
BNIPL	FKBP8
BNIP2	FATE1
SMN1	GEMIN2
SMN1	GEMIN2
TP53BP2	APC2
RTN4	RTN3
BCL2	BECN1
NFKB1	CNOT7
SKAP1	MAP7D1
ALOX5	NEU3
ALOX5	NEU3
VAV1	CHEK1
NCF4	NCF2
NCF4	NCF2
XRCC5	SPTA1
CBX5	STAT5A
PIAS4	FANCA
MITF	KLHL20
DHDDS	FOXP4
YBX1	BUB3
ATRNL1	MC4R
ATF7IP	IGHG2
CHAF1A	ATG14
ANP32A	ELAVL1
MAP1B	PARK7
MCM7	CEP68
CCN3	RELA
KMT2A	HIST1H3A
NEB	TPM2
NGFR	TP53
LSM7	BUB3
SNCAIP	PPP1CC
EPB41L1	PSMB7
MAP3K8	TNIP2
RELA	NFKBIA
NOP2	POT1
ETS1	TBP
PLXNA1	NRP1
AKT2	PPP2CA
ETS2	TP53
SHANK2	SHARPIN
CTTN	KCNA3
SNW1	MAGEA1
NRAS	MAP2K7
GLMN	BTBD9
KDM5B	CBX4
REL	TSR3
FLT1	SHC2
OPRD1	WLS
MYO1C	KAT2B
PDE6D	ARL16
RAP1GDS1	RBM42
PAX5	RB1
KALRN	DICER1
NRBF2	TGFBRAP1
PIK3R3	PIK3R1
APOA1	TMEM43
LSM8	LSM6
SNX17	APP
PKD1	CTNNB1
PKD2	GCC2
KCNA4	SIRT1
PFN2	SESTD1
HUS1	FANCA
PTPRB	PTPRG
PRKAR1A	IQCB1
PRKAR1B	THG1L
FER	FER
MAPK1	STYX
PDPK1	AKT1
WWC1	WWC3
ARHGDIG	GDI2
CD2AP	CBL
RABEP1	GRIPAP1
RIN3	ZNF71
KRIT1	UBFD1
RGL2	NOTCH2NLA
RGL2	NOTCH2NLA
RGL2	NOTCH2NLA
RGL2	NOTCH2NLA
RGL2	NOTCH2NLA
EXOC8	RAB8A
BRCA2	PARP2
RAD51	REV1
DMC1	SVIP
HBP1	TMEM37
HBP1	TMEM37
AATF	MAPT
AATF	MAPT
RXRA	VDR
ANK1	NELFB
LMO2	APBB1
TAL1	SNX4
UPF2	UPF3B
RPLP1	RPSA
RPLP2	RPS8
CYTH1	ARRB1
TOP3B	TDRD3
SNRPA	YARS
PDZK1	CSNK2A2
SOX9	FBXW7
NR5A1	TRAPPC2
CLU	LMAN2L
UNC13B	RAB27A
CD27	CD59
FKBP1A	RYR3
YY1	SMURF2
FKBP2	TXN
MYO7A	CALM1
TCAP	HSPA4
APBB1	TAMM41
CEBPZ	NOP2
ZEB1	SIRT1
NDN	SIRT1
ATM	H2AFX
NTRK1	NTRK1
HSH2D	TNK2
SRC	PTPN11
TGFBR1	AC011462.1
TNNC1	TNNI1
TNFAIP3	TAX1BP1
TP53	RBPJ
TNFRSF1A	RIPK1
DDR2	PHB2
CDH1	CCR4
ITGA1	SHARPIN
ITGA4	SF3B6
FLI1	PRKCD
VHL	PPP2CA
XRCC1	PRKDC
ZNF24	ZNF174
ZNF10	TRIM28
COG5	STX4
COG5	STX4
XPA	SPTA1
XPC	HIST2H4A
AR	KARS
HCFC1	BAP1
AGTR2	TIMP3
RANBP9	RAB8A
SFPQ	RBM27
BMX	COPS8
CITED1	EP300
TBR1	RMND5B
ID1	VHL
LRP2	CLU
ERBB4	ESR1
NCS1	CNOT3
ARHGEF11	ARAP2
UNC5A	FANCC
LRPPRC	EIF2AK4
UBE3A	COPS6
RAB9A	RABGGTB
CTBP2	HELZ
UPF3B	NKAP
NXF3	NXT1
CDC6	BUB1
TIMM8A	TIMM10
SH3GL3	SH3GL1
DTNA	POTEI
GPHN	ENAH
PQBP1	PPP1CB
GATA1	TRIP6
F8	UBQLN1
SH2D1A	OLIG1
FMR1	BCL7B
FXR1	UBAP2
MSN	WDR1
ARAF	BRAF
MAP2K2	TUBA4A
POLA1	WDHD1
RPGR	NEK4
HTR2C	EIF2B3
SYP	RNASEL
TAF1	MED1
BPY2	UBE3A
SORBS1	NCK2
YAF2	PDCD5
CBX3	BARD1
MAPK8IP3	DCTN4
BCL2L1	CDK1
BAX	SERPINB12
ABCA1	NR1H2
ANKRA2	PHB2
TAF13	MED1
PTPN12	AIFM1
TUFT1	STRN
PDE4DIP	CALML5
AP1B1	UBA1
PPP1R9B	DCX
JAK3	LYSMD2
EIF5A	REL
PTRH2	PTK2
TLE1	HES1
IL6ST	SGTB
EPS8	AMPD2
FASN	USP22
CENPF	NDEL1
UPF1	VPS35
NFU1	UBA3
PKN2	RABL3
PKP4	ATPAF2
ATXN1	CIC
PEX16	PEX19
ZNHIT3	ZNHIT3
ZNHIT3	ZNHIT3
IARS	OFD1
HTRA2	ARMC8
DUSP10	ACTB
BBS4	BBS7
BCAR1	INPPL1
TRAIP	RNF40
CSTF2	TTC27
CSTF1	BARD1
XRCC2	RAD51C
MSC	ID2
ID2	KLHL20
TCF4	ARFGAP2
PEX12	MRS2
PEX13	PEX5
ARFIP2	ARFIP1
NCBP2	NCBP2-AS2
PMF1	STXBP4
EIF2AK3	ILF2
DLG4	PTPN5
NCK1	RASA1
MINK1	MAP4K4
RECQL	MSH2
PIAS1	PSME3
MAPKAPK2	BCL2L1
S100P	TFIP11
LY9	PTPN11
PTBP1	TUFM
IFI35	NMI
SYN2	PSMC3
CDKN1B	UBC
INPPL1	BCAR1
NCOR2	BCL6
CDKN1C	COPS5
CDKN1C	COPS5
UGCG	APP
SERPINH1	CFL1
NEUROD1	LACRT
COPB1	IPO9
MYO6	REPS1
DCP1A	EDC3
BPTF	TFAP4
F11R	SGTA
ADAM17	LRRC3
BOK	NOA1
BCL2A1	BBC3
LSM6	GEMIN2
CADM1	RPS15
CSPG4	GRIP1
RAN	IKBIP
CDC45	MCM7
UBQLN1	PSMC2
ITGA3	FHL2
BIN1	ACTA1
BMPR1A	OTUB1
HNRNPD	HSPB1
HECW1	UBE2J2
