TRDD2-201	TRDD2
TRDD3-201	TRDD3
TRDD1-201	TRDD1
AC239618.6-201	TRBD1
AC245427.8-201	TRBD1
IGHD1-1-201	IGHD1-1
IGHD1-26-201	IGHD1-26
IGHD4OR15-4A-201	IGHD4OR15-4A
IGHD4-4-201	IGHD4-4
IGHD6-6-201	IGHD6-6
IGHD3-10-201	IGHD3-10
IGHD6-13-201	IGHD6-13
IGHD1-14-201	IGHD1-14
IGHD2-15-201	IGHD2-15
IGHD5-18-201	IGHD5-18
IGHD1-20-201	IGHD1-20
IGHD6-19-201	IGHD6-19
IGHD4-17-201	IGHD4-17
IGHD3-22-201	IGHD3-22
IGHD6-25-201	IGHD6-25
IGHD7-27-201	IGHD7-27
IGHD5-5-201	IGHD5-5
IGHD2-8-201	IGHD2-8
IGHD4-11-201	IGHD4-11
IGHD3-16-201	IGHD3-16
IGHD4-23-201	IGHD4-23
IGHD3-9-202	IGHD3-9
IGHD1-7-201	IGHD1-7
IGHD3-3-201	IGHD3-3
IGHD3-9-201	IGHD3-9
IGHD2-21-201	IGHD2-21
IGHD1OR15-1A-201	IGHD1OR15-1A
IGHD5-12-201	IGHD5-12
IGHD5-24-201	IGHD5-24
IGHD2-2-201	IGHD2-2
IGHD2OR15-2B-201	IGHD2OR15-2B
IGHD1-7-202	IGHD1-7
IGHD1OR15-1B-201	IGHD1OR15-1B
IGHD3OR15-3A-201	IGHD3OR15-3A
IGHD1-1-202	IGHD1-1
IGHD3-22-202	IGHD3-22
IGHD5OR15-5B-201	IGHD5OR15-5B
IGHD2-2-202	IGHD2-2
IGHD3-3-202	IGHD3-3
IGHD4-4-202	IGHD4-4
IGHD5-24-202	IGHD5-24
IGHD4-23-202	IGHD4-23
IGHD5-12-202	IGHD5-12
IGHD5OR15-5A-201	IGHD5OR15-5A
IGHD3-16-202	IGHD3-16
IGHD3OR15-3B-201	IGHD3OR15-3B
IGHD2-15-202	IGHD2-15
IGHD1-14-202	IGHD1-14
IGHD6-13-202	IGHD6-13
IGHD4OR15-4B-201	IGHD4OR15-4B
IGHD2-21-202	IGHD2-21
IGHD5-18-202	IGHD5-18
IGHD2-8-202	IGHD2-8
IGHD3-10-202	IGHD3-10
IGHD4-11-202	IGHD4-11
IGHD6-25-202	IGHD6-25
IGHD1-26-202	IGHD1-26
IGHD2OR15-2A-201	IGHD2OR15-2A
IGHD6-6-202	IGHD6-6
IGHD5-5-202	IGHD5-5
IGHD6-19-202	IGHD6-19
IGHD7-27-202	IGHD7-27
IGHD1-20-202	IGHD1-20
IGHD4-17-202	IGHD4-17
TRBV6-4-202	TRBV6-4
TRAV41-201	TRAV41
TRAV38-2DV8-201	TRAV38-2DV8
TRBV2-202	TRBV2
AC229888.6-201	TRBV13
TRBV7-6-202	TRBV7-6
TRBV6-6-202	TRBV6-6
TRAV26-2-201	TRAV26-2
TRBV4-1-202	TRBV4-1
TRAV29DV5-201	TRAV29DV5
AC244472.1-201	TRBV16
AC244196.2-201	TRBV12-5
AC244196.5-201	TRBV12-4
AC244196.3-201	TRBV13
TRBV7-9-201	TRBV7-9
TRBV5-7-201	TRBV5-7
TRBV5-1-201	TRBV5-1
TRBV3-1-201	TRBV3-1
TRAV40-201	TRAV40
TRBV25-1-201	TRBV25-1
TRBV24-1-202	TRBV24-1
AC239612.1-201	TRBV18
AC229888.9-201	TRBV15
AC229888.10-201	TRBV12-5
AC233282.1-201	AC233282.1
TRBV11-1-202	TRBV11-1
TRBV6-1-202	TRBV6-1
TRAV30-201	TRAV30
TRBV7-1-202	TRBV7-1
TRBV4-2-202	TRBV4-2
AC234635.5-201	TRBV6-2
TRAV9-2-201	TRAV9-2
TRAV12-1-201	TRAV12-1
TRBV23-1-202	TRBV23-1
AC229888.8-201	TRBV17
AC229888.5-201	TRBV12-4
TRBV5-5-202	TRBV5-5
AC229888.1-201	AC229888.1
TRBV20-1-202	TRBV20-1
TRBV5-7-202	TRBV5-7
AC233282.2-201	AC233282.2
TRBV7-4-202	TRBV7-4
AC234635.3-201	TRBV7-2
